Date,Takings,Donations,Total,Day,Week,Month,Year,CustNumbers
15/08/13,81.1,7,88.1,Thurs,20,5,13,22
16/08/13,104.8,15.85,120.65,Fri,20,5,13,26
17/08/13,126.85,12,138.85,Sat,20,5,13,36
20/08/13,183.15,0,183.15,Tues,21,5,13,38
21/08/13,155.75,0,155.75,Wed,21,5,13,45
22/08/13,122.85,0,122.85,Thurs,21,5,13,29
23/08/13,152.45,0,152.45,Fri,21,5,13,36
24/08/13,162.15,19.23,181.38,Sat,21,5,13,48
27/08/13,165.35,13.5,178.85,Tues,22,6,13,34
28/08/13,134.35,4.5,138.85,Wed,22,6,13,41
29/08/13,154.5,0,154.5,Thurs,22,6,13,24
30/08/13,176.06,5,181.06,Fri,22,6,13,30
31/08/13,117.85,0,117.85,Sat,22,6,13,33
03/09/13,157.09,0,157.09,Tues,23,6,13,37
04/09/13,86.91,8,94.91,Wed,23,6,13,33
05/09/13,156.8,0,156.8,Thurs,23,6,13,36
06/09/13,181.35,18,199.35,Fri,23,6,13,31
07/09/13,159.55,10,169.55,Sat,23,6,13,35
10/09/13,168.65,4,172.65,Tues,24,6,13,44
11/09/13,112.4,4,116.4,Wed,24,6,13,20
12/09/13,140.5,0,140.5,Thurs,24,6,13,27
13/09/13,175.49,6.5,181.99,Fri,24,6,13,47
14/09/13,134.35,5.5,139.85,Sat,24,6,13,31
14/09/13,56,0,56,Sat,24,6,13,0
17/09/13,180.9,5.5,186.4,Tues,25,6,13,49
18/09/13,101.3,2.5,103.8,Wed,25,6,13,20
19/09/13,137.06,2.5,139.56,Thurs,25,6,13,30
20/09/13,249.29,0,249.29,Fri,25,6,13,53
21/09/13,196.25,16.5,212.75,Sat,25,6,13,51
24/09/13,196.1,3.5,199.6,Tues,26,6,13,52
25/09/13,140.95,11.5,152.45,Wed,26,6,13,25
26/09/13,136,0,136,Thurs,26,6,13,32
27/09/13,273.78,10.5,284.28,Fri,26,6,13,67
28/09/13,139.35,1.5,140.85,Sat,26,6,13,26
01/10/13,175.8,7.5,183.3,Tues,27,7,13,48
02/10/13,63.3,0,63.3,Wed,27,7,13,18
03/10/13,138,6.5,144.5,Thurs,27,7,13,34
04/10/13,182.05,5,187.05,Fri,27,7,13,45
05/10/13,205.15,16.7,221.85,Sat,27,7,13,46
08/10/13,242.6,7,249.6,Tues,28,7,13,60
09/10/13,149.4,8,157.4,Wed,28,7,13,31
10/10/13,138.65,10,148.65,Thurs,28,7,13,30
11/10/13,241.15,0,241.15,Fri,28,7,13,49
12/10/13,299.75,12,311.75,Sat,28,7,13,58
12/10/13,25.15,0,25.15,Sat,28,7,13,0
15/10/13,190.4,0,190.4,Tues,29,7,13,42
16/10/13,122.15,5,127.15,Wed,29,7,13,29
17/10/13,145.29,4.5,149.79,Thurs,29,7,13,27
18/10/13,161.15,0,161.15,Fri,29,7,13,26
19/10/13,141.95,20,161.95,Sat,29,7,13,46
22/10/13,150.4,6.5,156.9,Tues,30,7,13,32
23/10/13,158,0,158,Wed,30,7,13,31
24/10/13,113.75,11.5,125.25,Thurs,30,7,13,23
25/10/13,195.9,0,195.9,Fri,30,7,13,46
26/10/13,102.64,5,107.64,Sat,30,7,13,19
29/10/13,234.4,10,244.4,Tues,31,8,13,54
30/10/13,202.5,9,211.5,Wed,31,8,13,40
31/10/13,94.2,0,94.2,Thurs,31,8,13,18
01/11/13,282.3,0,282.3,Fri,31,8,13,67
02/11/13,253.55,19.5,273.05,Sat,31,8,13,53
05/11/13,117.7,0,117.7,Tues,32,8,13,31
06/11/13,87.65,2.5,90.15,Wed,32,8,13,22
07/11/13,92.15,0,92.15,Thurs,32,8,13,19
08/11/13,163.61,7,170.61,Fri,32,8,13,33
09/11/13,221.11,2.5,223.61,Sat,32,8,13,42
12/11/13,179.88,2.5,182.38,Tues,33,8,13,41
13/11/13,127.15,0,127.15,Wed,33,8,13,28
14/11/13,189.05,8.5,197.55,Thurs,33,8,13,39
15/11/13,174.95,0,174.95,Fri,33,8,13,42
16/11/13,175.35,10,185.35,Sat,33,8,13,54
19/11/13,190.1,0,190.1,Tues,34,8,13,61
20/11/13,166,0,166,Wed,34,8,13,33
21/11/13,146,14,160,Thurs,34,8,13,30
22/11/13,204.83,0,204.83,Fri,34,8,13,43
23/11/11,492.97,15.5,508.47,Sat,34,8,13,113
23/11/13,111,0,111,Sat,34,8,13,0
26/11/13,128.7,0,128.7,Tues,35,9,13,42
27/11/13,172.35,0,172.35,Wed,35,9,13,37
28/11/13,159.1,0,159.1,Thurs,35,9,13,37
29/11/13,158.55,17.5,176.05,Fri,35,9,13,34
29/11/13,185,2.5,187.5,Fri,35,9,13,0
30/11/13,133.92,10,143.92,Sat,35,9,13,26
30/11/13,51.4,0,51.4,Sat,35,9,13,0
03/12/13,65,1.5,66.5,Tues,36,9,13,23
04/12/13,137.3,0,137.3,Wed,36,9,13,29
05/12/13,119.25,0,119.25,Thurs,36,9,13,26
06/12/13,174.63,12,186.63,Fri,36,9,13,37
07/12/13,172.1,4.5,176.6,Sat,36,9,13,42
09/12/13,340,30,370,Tues,37,9,13,0
10/12/13,213.2,1,214.2,Tues,37,9,13,51
11/12/13,220.75,8,228.75,Wed,37,9,13,42
12/12/13,100.7,1.5,102.2,Thurs,37,9,13,22
13/12/13,199.45,1,200.45,Fri,37,9,13,49
14/12/13,224.95,9.5,234.45,Sat,37,9,13,42
17/12/13,236,10,246,Tues,38,9,13,79
18/12/13,126.8,0,126.8,Wed,38,9,13,20
19/12/13,224.4,25,249.4,Thurs,38,9,13,28
20/12/13,159.75,0,159.75,Fri,38,9,13,34
21/12/13,107.65,10,117.65,Sat,38,9,13,26
24/12/13,0,0,0,Tues,39,9,13,0
25/12/13,0,0,0,Wed,39,9,13,0
26/12/13,0,0,0,Thurs,39,9,13,0
27/12/13,0,0,0,Fri,39,9,13,0
28/12/13,0,0,0,Sat,39,9,13,0
31/12/13,0,0,0,Tues,40,10,13,0
01/01/14,0,0,0,Wed,40,10,13,0
02/01/14,0,0,0,Thurs,40,10,13,0
03/01/14,0,0,0,Fri,40,10,13,0
